team_abbreviation_home,team_abbreviation_away,wl_home,game_date
ATL,CLE,L,2018-02-09 00:00:00
UTA,CHA,W,2018-02-09 00:00:00
CHI,MIN,W,2018-02-09 00:00:00
MIA,MIL,W,2018-02-09 00:00:00
SAC,POR,L,2018-02-09 00:00:00
BKN,NOP,L,2018-02-10 00:00:00
GSW,SAS,W,2018-02-10 00:00:00
PHX,DEN,L,2018-02-10 00:00:00
DAL,LAL,W,2018-02-10 00:00:00
CHI,WAS,L,2018-02-10 00:00:00
PHI,LAC,W,2018-02-10 00:00:00
ORL,MIL,L,2018-02-10 00:00:00
HOU,DAL,W,2018-02-11 00:00:00
MIN,SAC,W,2018-02-11 00:00:00
IND,NYK,W,2018-02-11 00:00:00
OKC,MEM,W,2018-02-11 00:00:00
BOS,CLE,L,2018-02-11 00:00:00
CHA,TOR,L,2018-02-11 00:00:00
ATL,DET,W,2018-02-11 00:00:00
POR,UTA,L,2018-02-11 00:00:00
BKN,LAC,L,2018-02-12 00:00:00
PHI,NYK,W,2018-02-12 00:00:00
CHI,ORL,W,2018-02-12 00:00:00
GSW,PHX,W,2018-02-12 00:00:00
DET,NOP,L,2018-02-12 00:00:00
UTA,SAS,W,2018-02-12 00:00:00
MIL,ATL,W,2018-02-13 00:00:00
TOR,MIA,W,2018-02-13 00:00:00
DAL,SAC,L,2018-02-13 00:00:00
DEN,SAS,W,2018-02-13 00:00:00
MIN,HOU,L,2018-02-13 00:00:00
OKC,CLE,L,2018-02-13 00:00:00
POR,GSW,W,2018-02-14 00:00:00
BOS,LAC,L,2018-02-14 00:00:00
UTA,PHX,W,2018-02-14 00:00:00
DET,ATL,W,2018-02-14 00:00:00
HOU,SAC,W,2018-02-14 00:00:00
MEM,OKC,L,2018-02-14 00:00:00
CHI,TOR,L,2018-02-14 00:00:00
NOP,LAL,W,2018-02-14 00:00:00
NYK,WAS,L,2018-02-14 00:00:00
PHI,MIA,W,2018-02-14 00:00:00
ORL,CHA,L,2018-02-14 00:00:00
BKN,IND,L,2018-02-14 00:00:00
MIN,LAL,W,2018-02-15 00:00:00
MIL,DEN,L,2018-02-15 00:00:00
ORL,NYK,L,2018-02-22 00:00:00
GSW,LAC,W,2018-02-22 00:00:00
CLE,WAS,L,2018-02-22 00:00:00
SAC,OKC,L,2018-02-22 00:00:00
CHA,BKN,W,2018-02-22 00:00:00
CHI,PHI,L,2018-02-22 00:00:00
HOU,MIN,W,2018-02-23 00:00:00
PHX,LAC,L,2018-02-23 00:00:00
WAS,CHA,L,2018-02-23 00:00:00
DET,BOS,L,2018-02-23 00:00:00
UTA,POR,L,2018-02-23 00:00:00
DEN,SAS,W,2018-02-23 00:00:00
NOP,MIA,W,2018-02-23 00:00:00
IND,ATL,W,2018-02-23 00:00:00
TOR,MIL,L,2018-02-23 00:00:00
MEM,CLE,L,2018-02-23 00:00:00
LAL,DAL,W,2018-02-23 00:00:00
PHX,POR,L,2018-02-24 00:00:00
NYK,BOS,L,2018-02-24 00:00:00
GSW,OKC,W,2018-02-24 00:00:00
PHI,ORL,W,2018-02-24 00:00:00
SAC,LAL,L,2018-02-24 00:00:00
MIN,CHI,W,2018-02-24 00:00:00
MIA,MEM,W,2018-02-24 00:00:00
UTA,DAL,W,2018-02-24 00:00:00
CHA,DET,W,2018-02-25 00:00:00
WAS,PHI,W,2018-02-25 00:00:00
CLE,SAS,L,2018-02-25 00:00:00
MIL,NOP,L,2018-02-25 00:00:00
DEN,HOU,L,2018-02-25 00:00:00
TOR,DET,W,2018-02-26 00:00:00
BKN,CHI,W,2018-02-26 00:00:00
BOS,MEM,W,2018-02-26 00:00:00
ATL,LAL,L,2018-02-26 00:00:00
DAL,IND,W,2018-02-26 00:00:00
OKC,ORL,W,2018-02-26 00:00:00
NYK,GSW,L,2018-02-26 00:00:00
SAC,MIN,L,2018-02-26 00:00:00
NOP,PHX,W,2018-02-26 00:00:00
UTA,HOU,L,2018-02-26 00:00:00
CHA,CHI,W,2018-02-27 00:00:00
CLE,BKN,W,2018-02-27 00:00:00
MIL,WAS,L,2018-02-27 00:00:00
POR,SAC,W,2018-02-27 00:00:00
MIA,PHI,W,2018-02-27 00:00:00
DEN,LAC,L,2018-02-27 00:00:00
ATL,IND,W,2018-02-28 00:00:00
SAS,NOP,L,2018-02-28 00:00:00
ORL,TOR,L,2018-02-28 00:00:00
BOS,CHA,W,2018-02-28 00:00:00
LAC,HOU,L,2018-02-28 00:00:00
DET,MIL,W,2018-02-28 00:00:00
MEM,PHX,L,2018-02-28 00:00:00
WAS,GSW,L,2018-02-28 00:00:00
DAL,OKC,L,2018-02-28 00:00:00
CLE,PHI,L,2018-03-01 00:00:00
POR,MIN,W,2018-03-01 00:00:00
MIA,LAL,L,2018-03-01 00:00:00
SAC,BKN,W,2018-03-01 00:00:00
PHI,CHA,W,2018-03-02 00:00:00
MEM,DEN,L,2018-03-02 00:00:00
ATL,GSW,L,2018-03-02 00:00:00
UTA,MIN,W,2018-03-02 00:00:00
LAC,NYK,W,2018-03-02 00:00:00
WAS,TOR,L,2018-03-02 00:00:00
PHX,OKC,L,2018-03-02 00:00:00
CHI,DAL,W,2018-03-02 00:00:00
MIL,IND,L,2018-03-02 00:00:00
ORL,DET,W,2018-03-02 00:00:00
MIA,DET,W,2018-03-03 00:00:00
CLE,DEN,L,2018-03-03 00:00:00
ORL,MEM,W,2018-03-03 00:00:00
HOU,BOS,W,2018-03-03 00:00:00
SAS,LAL,L,2018-03-03 00:00:00
POR,OKC,W,2018-03-03 00:00:00
SAC,UTA,L,2018-03-03 00:00:00
WAS,IND,L,2018-03-04 00:00:00
SAC,NYK,W,2018-03-04 00:00:00
MIL,PHI,W,2018-03-04 00:00:00
LAC,BKN,W,2018-03-04 00:00:00
DAL,NOP,L,2018-03-04 00:00:00
ATL,PHX,W,2018-03-04 00:00:00
TOR,CHA,W,2018-03-04 00:00:00
CHI,BOS,L,2018-03-05 00:00:00
IND,MIL,W,2018-03-05 00:00:00
UTA,ORL,W,2018-03-05 00:00:00
MIA,PHX,W,2018-03-05 00:00:00
SAS,MEM,W,2018-03-05 00:00:00
LAL,POR,L,2018-03-05 00:00:00
CLE,DET,W,2018-03-05 00:00:00
WAS,MIA,W,2018-03-06 00:00:00
OKC,HOU,L,2018-03-06 00:00:00
GSW,BKN,W,2018-03-06 00:00:00
TOR,ATL,W,2018-03-06 00:00:00
DAL,DEN,W,2018-03-06 00:00:00
POR,NYK,W,2018-03-06 00:00:00
CHA,PHI,L,2018-03-06 00:00:00
LAC,NOP,L,2018-03-06 00:00:00
DEN,CLE,L,2018-03-07 00:00:00
IND,UTA,L,2018-03-07 00:00:00
CHI,MEM,W,2018-03-07 00:00:00
DET,TOR,L,2018-03-07 00:00:00
MIL,HOU,L,2018-03-07 00:00:00
LAL,ORL,W,2018-03-07 00:00:00
SAC,NOP,L,2018-03-07 00:00:00
CHA,BKN,L,2018-03-08 00:00:00
GSW,SAS,W,2018-03-08 00:00:00
MIA,PHI,W,2018-03-08 00:00:00
OKC,PHX,W,2018-03-08 00:00:00
MIN,BOS,L,2018-03-08 00:00:00
IND,ATL,W,2018-03-09 00:00:00
NOP,WAS,L,2018-03-09 00:00:00
POR,GSW,W,2018-03-09 00:00:00
DET,CHI,W,2018-03-09 00:00:00
MEM,UTA,L,2018-03-09 00:00:00
LAC,CLE,W,2018-03-09 00:00:00
DEN,LAL,W,2018-03-09 00:00:00
MIL,NYK,W,2018-03-09 00:00:00
TOR,HOU,W,2018-03-09 00:00:00
SAC,ORL,W,2018-03-09 00:00:00
LAC,ORL,W,2018-03-10 00:00:00
DAL,MEM,W,2018-03-10 00:00:00
CHA,PHX,W,2018-03-10 00:00:00
MIA,WAS,W,2018-03-10 00:00:00
OKC,SAS,W,2018-03-10 00:00:00
NYK,TOR,L,2018-03-11 00:00:00
BOS,IND,L,2018-03-11 00:00:00
DAL,HOU,L,2018-03-11 00:00:00
DEN,SAC,W,2018-03-11 00:00:00
NOP,UTA,L,2018-03-11 00:00:00
LAL,CLE,W,2018-03-11 00:00:00
BKN,PHI,L,2018-03-11 00:00:00
MIN,GSW,W,2018-03-11 00:00:00
ATL,CHI,L,2018-03-11 00:00:00
HOU,SAS,W,2018-03-12 00:00:00
OKC,SAC,W,2018-03-12 00:00:00
POR,MIA,W,2018-03-12 00:00:00
MEM,MIL,L,2018-03-12 00:00:00
SAS,ORL,W,2018-03-13 00:00:00
ATL,OKC,L,2018-03-13 00:00:00
NOP,CHA,W,2018-03-13 00:00:00
NYK,DAL,L,2018-03-13 00:00:00
WAS,MIN,L,2018-03-13 00:00:00
CHI,LAC,L,2018-03-13 00:00:00
PHX,CLE,L,2018-03-13 00:00:00
UTA,DET,W,2018-03-13 00:00:00
PHI,IND,L,2018-03-13 00:00:00
LAL,DEN,W,2018-03-13 00:00:00
BKN,TOR,L,2018-03-13 00:00:00
BOS,WAS,L,2018-03-14 00:00:00
SAC,MIA,W,2018-03-14 00:00:00
GSW,LAL,W,2018-03-14 00:00:00
ORL,MIL,W,2018-03-14 00:00:00
ATL,CHA,L,2018-03-15 00:00:00
SAS,NOP,W,2018-03-15 00:00:00
UTA,PHX,W,2018-03-15 00:00:00
DEN,DET,W,2018-03-15 00:00:00
IND,TOR,L,2018-03-15 00:00:00
POR,CLE,W,2018-03-15 00:00:00
HOU,LAC,W,2018-03-15 00:00:00
NYK,PHI,L,2018-03-15 00:00:00
MEM,CHI,L,2018-03-15 00:00:00
LAL,MIA,L,2018-03-16 00:00:00
ORL,BOS,L,2018-03-16 00:00:00
TOR,DAL,W,2018-03-16 00:00:00
PHI,BKN,W,2018-03-16 00:00:00
GSW,SAC,L,2018-03-16 00:00:00
OKC,LAC,W,2018-03-16 00:00:00
NOP,HOU,L,2018-03-17 00:00:00
BKN,DAL,W,2018-03-17 00:00:00
PHX,GSW,L,2018-03-17 00:00:00
MIL,ATL,W,2018-03-17 00:00:00
SAS,MIN,W,2018-03-17 00:00:00
NYK,CHA,W,2018-03-17 00:00:00
UTA,SAC,W,2018-03-17 00:00:00
POR,DET,W,2018-03-17 00:00:00
MEM,DEN,W,2018-03-17 00:00:00
CHI,CLE,L,2018-03-17 00:00:00
WAS,IND,W,2018-03-17 00:00:00
NOP,BOS,W,2018-03-18 00:00:00
TOR,OKC,L,2018-03-18 00:00:00
MIN,HOU,L,2018-03-18 00:00:00
LAC,POR,L,2018-03-18 00:00:00
BKN,MEM,W,2018-03-19 00:00:00
MIA,DEN,W,2018-03-19 00:00:00
SAS,GSW,W,2018-03-19 00:00:00
PHI,CHA,W,2018-03-19 00:00:00
SAC,DET,L,2018-03-19 00:00:00
NYK,CHI,W,2018-03-19 00:00:00
CLE,MIL,W,2018-03-19 00:00:00
IND,LAL,W,2018-03-19 00:00:00
MIN,LAC,W,2018-03-20 00:00:00
PHX,DET,L,2018-03-20 00:00:00
ORL,TOR,L,2018-03-20 00:00:00
NOP,DAL,W,2018-03-20 00:00:00
UTA,ATL,L,2018-03-20 00:00:00
POR,HOU,L,2018-03-20 00:00:00
BOS,OKC,W,2018-03-20 00:00:00
PHI,MEM,W,2018-03-21 00:00:00
NOP,IND,W,2018-03-21 00:00:00
CLE,TOR,W,2018-03-21 00:00:00
CHI,DEN,L,2018-03-21 00:00:00
MIL,LAC,L,2018-03-21 00:00:00
MIA,NYK,W,2018-03-21 00:00:00
BKN,CHA,L,2018-03-21 00:00:00
SAS,WAS,W,2018-03-21 00:00:00
CHA,MEM,W,2018-03-22 00:00:00
HOU,DET,W,2018-03-22 00:00:00
SAC,ATL,W,2018-03-22 00:00:00
DAL,UTA,L,2018-03-22 00:00:00
NOP,LAL,W,2018-03-22 00:00:00
ORL,PHI,L,2018-03-22 00:00:00
OKC,MIA,W,2018-03-23 00:00:00
POR,BOS,L,2018-03-23 00:00:00
IND,LAC,W,2018-03-23 00:00:00
WAS,DEN,L,2018-03-23 00:00:00
NYK,MIN,L,2018-03-23 00:00:00
GSW,ATL,W,2018-03-23 00:00:00
TOR,BKN,W,2018-03-23 00:00:00
CHI,MIL,L,2018-03-23 00:00:00
SAS,UTA,W,2018-03-23 00:00:00
CLE,PHX,W,2018-03-23 00:00:00
MEM,LAL,L,2018-03-24 00:00:00
DET,CHI,W,2018-03-24 00:00:00
DAL,CHA,L,2018-03-24 00:00:00
PHI,MIN,W,2018-03-24 00:00:00
ORL,PHX,W,2018-03-24 00:00:00
HOU,NOP,W,2018-03-24 00:00:00
TOR,LAC,L,2018-03-25 00:00:00
WAS,NYK,L,2018-03-25 00:00:00
GSW,UTA,L,2018-03-25 00:00:00
OKC,POR,L,2018-03-25 00:00:00
SAC,BOS,L,2018-03-25 00:00:00
HOU,ATL,W,2018-03-25 00:00:00
IND,MIA,W,2018-03-25 00:00:00
BKN,CLE,L,2018-03-25 00:00:00
MIL,SAS,W,2018-03-25 00:00:00
DET,LAL,W,2018-03-26 00:00:00
PHX,BOS,L,2018-03-26 00:00:00
MIN,MEM,L,2018-03-26 00:00:00
PHI,DEN,W,2018-03-26 00:00:00
CHA,NYK,W,2018-03-26 00:00:00
SAC,DAL,L,2018-03-27 00:00:00
NOP,POR,L,2018-03-27 00:00:00
MIA,CLE,W,2018-03-27 00:00:00
TOR,DEN,W,2018-03-27 00:00:00
WAS,SAS,W,2018-03-27 00:00:00
LAC,MIL,W,2018-03-27 00:00:00
GSW,IND,L,2018-03-27 00:00:00
HOU,CHI,W,2018-03-27 00:00:00
PHX,LAC,L,2018-03-28 00:00:00
PHI,NYK,W,2018-03-28 00:00:00
ORL,BKN,L,2018-03-28 00:00:00
LAL,DAL,W,2018-03-28 00:00:00
CHA,CLE,L,2018-03-28 00:00:00
MEM,POR,W,2018-03-28 00:00:00
UTA,BOS,L,2018-03-28 00:00:00
MIN,ATL,W,2018-03-28 00:00:00
SAS,OKC,W,2018-03-29 00:00:00
GSW,MIL,L,2018-03-29 00:00:00
SAC,IND,L,2018-03-29 00:00:00
DET,WAS,W,2018-03-29 00:00:00
MIA,CHI,W,2018-03-29 00:00:00
ORL,CHI,L,2018-03-30 00:00:00
CLE,NOP,W,2018-03-30 00:00:00
UTA,MEM,W,2018-03-30 00:00:00
HOU,PHX,W,2018-03-30 00:00:00
LAL,MIL,L,2018-03-30 00:00:00
ATL,PHI,L,2018-03-30 00:00:00
OKC,DEN,L,2018-03-30 00:00:00
DAL,MIN,L,2018-03-30 00:00:00
POR,LAC,W,2018-03-30 00:00:00
WAS,CHA,W,2018-03-31 00:00:00
SAC,GSW,L,2018-03-31 00:00:00
MIA,BKN,L,2018-03-31 00:00:00
NYK,DET,L,2018-03-31 00:00:00
BOS,TOR,W,2018-03-31 00:00:00
ATL,ORL,W,2018-04-01 00:00:00
DEN,MIL,W,2018-04-01 00:00:00
CHA,PHI,L,2018-04-01 00:00:00
POR,MEM,W,2018-04-01 00:00:00
CLE,DAL,W,2018-04-01 00:00:00
BKN,DET,L,2018-04-01 00:00:00
LAC,IND,L,2018-04-01 00:00:00
CHI,WAS,W,2018-04-01 00:00:00
NOP,OKC,L,2018-04-01 00:00:00
MIN,UTA,L,2018-04-01 00:00:00
LAL,SAC,L,2018-04-01 00:00:00
GSW,PHX,W,2018-04-01 00:00:00
SAS,HOU,W,2018-04-01 00:00:00
PHI,BKN,W,2018-04-03 00:00:00
UTA,LAL,W,2018-04-03 00:00:00
NYK,ORL,L,2018-04-03 00:00:00
MIL,BOS,W,2018-04-03 00:00:00
HOU,WAS,W,2018-04-03 00:00:00
MIA,ATL,W,2018-04-03 00:00:00
PHX,SAC,W,2018-04-03 00:00:00
CLE,TOR,W,2018-04-03 00:00:00
DEN,IND,W,2018-04-03 00:00:00
CHI,CHA,W,2018-04-03 00:00:00
LAC,SAS,W,2018-04-03 00:00:00
OKC,GSW,L,2018-04-03 00:00:00
DAL,POR,W,2018-04-03 00:00:00
TOR,BOS,W,2018-04-04 00:00:00
NOP,MEM,W,2018-04-04 00:00:00
ATL,MIA,L,2018-04-04 00:00:00
ORL,DAL,W,2018-04-04 00:00:00
DET,PHI,L,2018-04-04 00:00:00
LAL,SAS,W,2018-04-04 00:00:00
DEN,MIN,W,2018-04-05 00:00:00
UTA,LAC,W,2018-04-05 00:00:00
CLE,WAS,W,2018-04-05 00:00:00
MIL,BKN,L,2018-04-05 00:00:00
HOU,POR,W,2018-04-05 00:00:00
IND,GSW,W,2018-04-05 00:00:00
WAS,ATL,L,2018-04-06 00:00:00
TOR,IND,W,2018-04-06 00:00:00
ORL,CHA,L,2018-04-06 00:00:00
LAL,MIN,L,2018-04-06 00:00:00
BOS,CHI,W,2018-04-06 00:00:00
DET,DAL,W,2018-04-06 00:00:00
MEM,SAC,L,2018-04-06 00:00:00
PHX,NOP,L,2018-04-06 00:00:00
NYK,MIA,W,2018-04-06 00:00:00
PHI,CLE,W,2018-04-06 00:00:00
NYK,MIL,L,2018-04-07 00:00:00
SAS,POR,W,2018-04-07 00:00:00
HOU,OKC,L,2018-04-07 00:00:00
LAC,DEN,L,2018-04-07 00:00:00
CHI,BKN,L,2018-04-07 00:00:00
GSW,NOP,L,2018-04-07 00:00:00
TOR,ORL,W,2018-04-08 00:00:00
BOS,ATL,L,2018-04-08 00:00:00
PHX,GSW,L,2018-04-08 00:00:00
PHI,DAL,W,2018-04-08 00:00:00
MEM,DET,W,2018-04-08 00:00:00
CHA,IND,L,2018-04-08 00:00:00
LAL,UTA,L,2018-04-08 00:00:00
DEN,POR,W,2018-04-09 00:00:00
LAC,NOP,L,2018-04-09 00:00:00
DET,TOR,L,2018-04-09 00:00:00
NYK,CLE,L,2018-04-09 00:00:00
MIN,MEM,W,2018-04-09 00:00:00
MIA,OKC,L,2018-04-09 00:00:00
MIL,ORL,W,2018-04-09 00:00:00
BKN,CHI,W,2018-04-09 00:00:00
SAS,SAC,W,2018-04-09 00:00:00
DAL,PHX,L,2018-04-10 00:00:00
IND,CHA,L,2018-04-10 00:00:00
LAL,HOU,L,2018-04-10 00:00:00
ATL,PHI,L,2018-04-10 00:00:00
WAS,BOS,W,2018-04-10 00:00:00
UTA,GSW,W,2018-04-10 00:00:00
MIA,TOR,W,2018-04-11 00:00:00
NOP,SAS,W,2018-04-11 00:00:00
CLE,NYK,L,2018-04-11 00:00:00
PHI,MIL,W,2018-04-11 00:00:00
MIN,DEN,W,2018-04-11 00:00:00
SAC,HOU,W,2018-04-11 00:00:00
LAC,LAL,L,2018-04-11 00:00:00
POR,UTA,W,2018-04-11 00:00:00
CHI,DET,L,2018-04-11 00:00:00
ORL,WAS,W,2018-04-11 00:00:00
OKC,MEM,W,2018-04-11 00:00:00
BOS,BKN,W,2018-04-11 00:00:00
