home_idx,away_idx,margin,season
0,8,-7.0,2015
9,18,21.0,2015
4,5,7.0,2015
2,22,22.0,2015
15,3,15.0,2015
25,12,-2.0,2015
23,6,-11.0,2015
14,5,-25.0,2015
13,17,4.0,2015
21,29,4.0,2015
8,28,10.0,2015
10,7,-15.0,2015
16,19,-20.0,2015
24,18,23.0,2015
1,4,-10.0,2015
20,26,11.0,2015
27,11,12.0,2015
12,6,21.0,2015
11,14,-4.0,2015
19,0,-6.0,2015
23,24,23.0,2015
10,9,-15.0,2015
16,29,0.0,2015
8,4,9.0,2015
5,15,15.0,2015
2,27,-5.0,2015
26,1,30.0,2015
0,3,8.0,2015
7,17,-12.0,2015
22,28,-23.0,2015
21,20,2.0,2015
25,13,23.0,2015
24,23,-6.0,2015
12,25,10.0,2015
11,28,-16.0,2015
29,19,-2.0,2015
18,9,-9.0,2015
14,1,15.0,2015
4,21,10.0,2015
27,16,24.0,2015
13,6,-5.0,2015
20,7,29.0,2015
15,10,25.0,2015
2,26,-3.0,2015
3,0,3.0,2015
17,24,0.0,2015
10,20,10.0,2015
9,14,30.0,2015
12,23,11.0,2015
1,16,-2.0,2015
22,5,-2.0,2015
19,26,-5.0,2015
18,21,-4.0,2015
25,14,-9.0,2015
3,4,30.0,2015
8,11,-7.0,2015
6,27,-6.0,2015
15,0,-1.0,2015
13,7,-6.0,2015
16,22,9.0,2015
9,12,9.0,2015
28,24,-11.0,2015
29,26,8.0,2015
23,25,26.0,2015
5,19,15.0,2015
10,21,10.0,2015
11,2,7.0,2015
20,27,0.0,2015
0,1,19.0,2015
4,20,11.0,2015
7,28,-7.0,2015
17,15,-7.0,2015
24,14,24.0,2015
6,3,-9.0,2015
25,10,-1.0,2015
9,7,20.0,2015
23,8,-3.0,2015
11,15,8.0,2015
19,16,-2.0,2015
1,13,-1.0,2015
5,22,11.0,2015
18,0,-1.0,2015
21,27,10.0,2015
2,29,25.0,2015
4,17,-4.0,2015
6,18,14.0,2015
16,1,13.0,2015
0,29,20.0,2015
25,9,-4.0,2015
12,10,1.0,2015
22,21,-3.0,2015
28,14,15.0,2015
26,3,25.0,2015
19,13,9.0,2015
15,27,25.0,2015
20,23,26.0,2015
5,11,9.0,2015
24,8,-12.0,2015
0,17,-5.0,2015
7,24,9.0,2015
9,8,19.0,2015
25,26,-13.0,2015
12,14,7.0,2015
22,4,-18.0,2015
11,21,18.0,2015
18,6,20.0,2015
29,20,-19.0,2015
5,28,9.0,2015
17,3,-4.0,2015
15,13,18.0,2015
27,19,3.0,2015
16,2,-11.0,2015
24,26,-7.0,2015
25,8,14.0,2015
3,19,7.0,2015
14,9,-11.0,2015
7,16,6.0,2015
21,13,7.0,2015
10,1,-3.0,2015
6,12,15.0,2015
0,18,13.0,2015
2,11,-6.0,2015
22,27,-11.0,2015
23,12,19.0,2015
15,28,6.0,2015
17,9,-8.0,2015
20,22,22.0,2015
4,3,10.0,2015
7,10,14.0,2015
6,13,13.0,2015
19,5,-1.0,2015
14,24,6.0,2015
2,0,18.0,2015
21,28,14.0,2015
11,17,9.0,2015
25,1,7.0,2015
27,18,24.0,2015
9,1,13.0,2015
12,8,10.0,2015
26,22,14.0,2015
23,7,29.0,2015
10,6,-7.0,2015
29,21,14.0,2015
16,5,8.0,2015
25,27,11.0,2015
19,18,13.0,2015
3,24,17.0,2015
17,14,-3.0,2015
0,28,4.0,2015
13,8,17.0,2015
20,2,-10.0,2015
23,13,24.0,2015
10,2,-11.0,2015
14,20,13.0,2015
22,6,-1.0,2015
4,11,6.0,2015
26,24,18.0,2015
1,0,7.0,2015
29,16,30.0,2015
18,7,-12.0,2015
19,3,13.0,2015
15,17,-7.0,2015
9,27,10.0,2015
8,5,10.0,2015
2,6,1.0,2015
0,25,11.0,2015
22,11,-22.0,2015
10,24,10.0,2015
20,18,12.0,2015
28,27,9.0,2015
23,4,-1.0,2015
3,1,10.0,2015
21,17,8.0,2015
26,7,16.0,2015
12,9,-2.0,2015
5,16,20.0,2015
15,25,12.0,2015
13,27,-6.0,2015
3,22,30.0,2015
18,26,19.0,2015
17,8,-5.0,2015
20,19,2.0,2015
7,23,-2.0,2015
6,28,14.0,2015
14,10,17.0,2015
24,12,16.0,2015
9,4,17.0,2015
2,1,30.0,2015
15,22,10.0,2015
5,0,17.0,2015
10,19,0.0,2015
21,25,-1.0,2015
8,29,3.0,2015
26,14,15.0,2015
11,16,30.0,2015
1,2,15.0,2015
7,9,-8.0,2015
20,6,8.0,2015
13,24,-9.0,2015
18,23,11.0,2015
12,27,-6.0,2015
26,23,19.0,2015
15,19,22.0,2015
16,8,26.0,2015
5,21,19.0,2015
17,22,10.0,2015
28,20,-17.0,2015
3,25,10.0,2015
14,6,19.0,2015
24,4,0.0,2015
7,12,-12.0,2015
29,11,-12.0,2015
9,13,30.0,2015
0,2,29.0,2015
27,5,9.0,2015
8,15,28.0,2015
3,29,19.0,2015
23,18,-1.0,2015
12,28,-6.0,2015
17,0,9.0,2015
21,19,14.0,2015
2,22,9.0,2015
10,14,-4.0,2015
20,1,16.0,2015
26,6,10.0,2015
16,25,-6.0,2015
21,16,29.0,2015
2,29,30.0,2015
25,17,-5.0,2015
20,8,21.0,2015
11,4,17.0,2015
14,0,-10.0,2015
10,22,7.0,2015
7,26,-6.0,2015
3,5,0.0,2015
19,15,-14.0,2015
23,9,-14.0,2015
12,18,26.0,2015
26,0,25.0,2015
24,13,17.0,2015
5,1,7.0,2015
6,7,16.0,2015
28,18,19.0,2015
29,27,3.0,2015
9,25,24.0,2015
13,11,1.0,2015
27,23,0.0,2015
19,10,0.0,2015
14,22,13.0,2015
1,8,9.0,2015
21,2,24.0,2015
12,17,13.0,2015
3,16,10.0,2015
25,6,19.0,2015
28,9,2.0,2015
16,7,23.0,2015
4,26,8.0,2015
0,20,11.0,2015
8,10,16.0,2015
15,2,-5.0,2015
12,24,20.0,2015
5,29,-7.0,2015
1,23,8.0,2015
18,14,-4.0,2015
22,13,17.0,2015
17,21,2.0,2015
24,6,2.0,2015
29,13,1.0,2015
8,23,10.0,2015
12,11,-7.0,2015
26,16,30.0,2015
0,27,-5.0,2015
19,22,17.0,2015
4,7,14.0,2015
10,18,12.0,2015
3,9,-12.0,2015
27,7,4.0,2015
25,2,-12.0,2015
15,20,7.0,2015
28,21,-4.0,2015
24,11,17.0,2015
14,26,-15.0,2015
18,5,11.0,2015
8,16,12.0,2015
6,10,1.0,2015
29,23,8.0,2015
19,1,22.0,2015
0,13,18.0,2015
12,21,7.0,2015
26,2,8.0,2015
22,7,2.0,2015
16,19,20.0,2015
28,11,8.0,2015
4,3,-1.0,2015
17,24,-1.0,2015
10,25,12.0,2015
15,5,20.0,2015
27,9,2.0,2015
20,25,8.0,2015
8,13,25.0,2015
14,23,7.0,2015
1,9,-11.0,2015
29,6,-7.0,2015
16,24,7.0,2015
3,8,25.0,2015
19,6,-2.0,2015
15,29,-6.0,2015
22,26,-30.0,2015
27,13,14.0,2015
4,23,3.0,2015
18,2,-13.0,2015
17,12,1.0,2015
25,28,13.0,2015
1,10,10.0,2015
14,20,-30.0,2015
7,21,-6.0,2015
5,24,10.0,2015
11,9,-3.0,2015
23,21,8.0,2015
2,4,10.0,2015
6,0,2.0,2015
17,13,6.0,2015
27,26,8.0,2015
16,12,-9.0,2015
3,15,23.0,2015
28,19,26.0,2015
8,14,4.0,2015
29,10,-1.0,2015
4,12,8.0,2015
1,22,14.0,2015
25,19,7.0,2015
20,0,18.0,2015
2,9,0.0,2015
23,24,-5.0,2015
21,5,-30.0,2015
28,20,1.0,2015
11,15,18.0,2015
18,29,7.0,2015
27,16,12.0,2015
22,8,-7.0,2015
26,13,27.0,2015
7,17,8.0,2015
14,3,-19.0,2015
3,2,0.0,2015
4,18,9.0,2015
16,9,18.0,2015
6,29,2.0,2015
0,26,-20.0,2015
8,11,27.0,2015
1,12,0.0,2015
24,19,3.0,2015
10,13,30.0,2015
23,17,12.0,2015
20,28,11.0,2015
15,14,8.0,2015
27,22,25.0,2015
26,28,30.0,2015
4,22,24.0,2015
0,15,-7.0,2015
6,23,15.0,2015
1,21,-18.0,2015
11,27,21.0,2015
14,29,22.0,2015
24,18,9.0,2015
7,10,11.0,2015
8,12,3.0,2015
2,5,-7.0,2015
13,16,23.0,2015
25,10,15.0,2015
17,7,-7.0,2015
12,16,18.0,2015
4,14,18.0,2015
1,15,-1.0,2015
26,29,24.0,2015
0,22,26.0,2015
8,2,8.0,2015
11,6,30.0,2015
20,24,21.0,2015
19,17,10.0,2015
21,3,20.0,2015
9,23,30.0,2015
28,18,-5.0,2015
5,20,9.0,2015
13,10,-15.0,2015
3,27,15.0,2015
9,16,14.0,2015
22,19,-5.0,2015
15,27,-9.0,2015
21,24,13.0,2015
6,14,14.0,2015
2,0,-3.0,2015
11,1,12.0,2015
23,18,21.0,2015
28,7,14.0,2015
17,25,9.0,2015
26,12,13.0,2015
4,8,2.0,2015
20,13,30.0,2015
19,4,21.0,2015
10,12,15.0,2015
29,3,13.0,2015
14,11,17.0,2015
7,18,0.0,2015
5,22,27.0,2015
1,17,-10.0,2015
15,24,12.0,2015
21,0,2.0,2015
27,25,-5.0,2015
23,16,-1.0,2015
4,1,2.0,2015
2,17,19.0,2015
0,24,14.0,2015
29,25,19.0,2015
10,3,12.0,2015
19,21,-3.0,2015
28,23,26.0,2015
26,11,19.0,2015
12,20,4.0,2015
27,6,9.0,2015
15,8,4.0,2015
22,14,-9.0,2015
7,13,1.0,2015
17,26,-20.0,2015
16,22,18.0,2015
3,2,-8.0,2015
23,7,-3.0,2015
9,28,23.0,2015
11,25,3.0,2015
18,24,30.0,2015
1,6,4.0,2015
5,19,12.0,2015
21,10,8.0,2015
0,8,12.0,2015
29,14,14.0,2015
13,20,-30.0,2015
20,4,-4.0,2015
15,18,11.0,2015
13,12,-5.0,2015
10,26,9.0,2015
9,5,11.0,2015
18,10,7.0,2015
0,19,24.0,2015
23,22,-2.0,2015
1,29,-10.0,2015
21,15,-2.0,2015
16,27,-16.0,2015
24,5,30.0,2015
17,11,-9.0,2015
6,4,12.0,2015
26,7,20.0,2015
8,2,-1.0,2015
28,12,0.0,2015
3,14,11.0,2015
14,13,21.0,2015
2,19,14.0,2015
25,24,1.0,2015
20,7,15.0,2015
6,16,15.0,2015
15,1,-1.0,2015
11,0,11.0,2015
4,27,12.0,2015
26,17,11.0,2015
9,25,24.0,2015
23,5,1.0,2015
21,18,20.0,2015
28,22,9.0,2015
29,12,-12.0,2015
3,13,15.0,2015
14,15,14.0,2015
19,8,17.0,2015
7,5,-1.0,2015
10,0,-1.0,2015
20,16,13.0,2015
26,23,30.0,2015
2,13,-3.0,2015
27,29,8.0,2015
3,12,0.0,2015
25,22,0.0,2015
21,1,12.0,2015
6,9,28.0,2015
4,11,7.0,2015
24,7,12.0,2015
17,28,19.0,2015
11,16,1.0,2015
28,24,18.0,2015
18,12,-1.0,2015
20,23,9.0,2015
8,17,30.0,2015
10,9,1.0,2015
4,19,30.0,2015
27,3,15.0,2015
15,6,29.0,2015
13,22,14.0,2015
29,21,17.0,2015
11,8,17.0,2015
25,23,28.0,2015
9,7,8.0,2015
6,18,-2.0,2015
28,14,10.0,2015
5,21,30.0,2015
12,22,30.0,2015
2,1,2.0,2015
17,16,-5.0,2015
3,20,-14.0,2015
26,10,23.0,2015
7,24,-1.0,2015
19,0,19.0,2015
27,4,3.0,2015
29,15,-17.0,2015
13,23,25.0,2015
20,25,-7.0,2015
8,21,30.0,2015
24,14,-8.0,2015
5,27,27.0,2015
9,3,15.0,2015
15,11,8.0,2015
16,26,-20.0,2015
1,2,-4.0,2015
28,10,3.0,2015
22,17,15.0,2015
13,9,-16.0,2015
0,19,-1.0,2015
6,25,6.0,2015
4,16,16.0,2015
18,6,-4.0,2015
15,19,-3.0,2015
29,5,-1.0,2015
17,7,1.0,2015
1,27,-12.0,2015
23,3,14.0,2015
26,28,30.0,2015
21,11,-4.0,2015
20,14,23.0,2015
24,12,-6.0,2015
2,8,0.0,2015
25,13,8.0,2015
4,2,14.0,2015
10,28,14.0,2015
22,0,-23.0,2015
24,9,-15.0,2015
26,19,6.0,2015
16,6,6.0,2015
14,7,12.0,2015
17,5,-21.0,2015
29,27,-4.0,2015
18,11,0.0,2015
23,15,-3.0,2015
13,20,1.0,2015
1,21,-1.0,2015
0,4,20.0,2015
12,3,19.0,2015
25,9,-7.0,2015
8,1,19.0,2015
28,15,20.0,2015
21,29,-1.0,2015
22,27,-8.0,2015
17,6,-1.0,2015
22,5,-5.0,2015
12,18,8.0,2015
19,16,17.0,2015
13,28,-7.0,2015
24,20,10.0,2015
14,2,8.0,2015
7,3,8.0,2015
10,11,9.0,2015
9,15,13.0,2015
4,29,-9.0,2015
1,26,-22.0,2015
14,10,-11.0,2015
17,20,0.0,2015
13,18,9.0,2015
16,4,10.0,2015
11,23,24.0,2015
8,26,-5.0,2015
6,5,2.0,2015
19,2,11.0,2015
20,6,24.0,2015
1,19,11.0,2015
10,17,8.0,2015
25,18,-7.0,2015
7,9,7.0,2015
24,28,19.0,2015
2,11,14.0,2015
12,15,19.0,2015
3,0,28.0,2015
29,16,10.0,2015
14,8,7.0,2015
22,4,1.0,2015
9,13,23.0,2015
26,5,9.0,2015
21,27,2.0,2015
28,25,3.0,2015
10,5,-9.0,2015
20,17,25.0,2015
4,6,-1.0,2015
7,15,2.0,2015
11,29,-9.0,2015
18,3,7.0,2015
16,0,12.0,2015
2,23,19.0,2015
1,24,-7.0,2015
14,19,13.0,2015
3,16,-8.0,2015
8,9,23.0,2015
12,25,-2.0,2015
0,1,30.0,2015
22,24,30.0,2015
29,2,3.0,2015
28,13,30.0,2015
13,10,-12.0,2015
26,6,30.0,2015
17,23,30.0,2015
20,15,30.0,2015
7,11,8.0,2015
0,21,22.0,2015
12,10,13.0,2015
19,22,11.0,2015
14,18,7.0,2015
8,4,-5.0,2015
3,28,10.0,2015
27,1,17.0,2015
29,24,-5.0,2015
6,2,10.0,2015
5,9,-29.0,2015
23,11,2.0,2015
7,20,-1.0,2015
18,17,20.0,2015
15,16,-7.0,2015
10,8,-4.0,2015
1,5,-8.0,2015
27,2,11.0,2015
24,0,-1.0,2015
19,28,12.0,2015
29,15,24.0,2015
6,17,17.0,2015
4,9,-26.0,2015
20,3,19.0,2015
13,25,-14.0,2015
21,22,-4.0,2015
5,12,18.0,2015
18,8,21.0,2015
25,0,8.0,2015
23,26,-23.0,2015
7,14,4.0,2015
1,28,-17.0,2015
2,4,14.0,2015
27,15,25.0,2015
19,12,-23.0,2015
10,16,9.0,2015
21,3,1.0,2015
6,20,2.0,2015
13,26,-8.0,2015
9,11,17.0,2015
18,16,22.0,2015
24,13,23.0,2015
25,11,16.0,2015
5,4,-8.0,2015
3,19,18.0,2015
23,0,8.0,2015
17,14,10.0,2015
7,8,8.0,2015
10,6,16.0,2015
22,2,-15.0,2015
1,20,15.0,2015
27,12,23.0,2015
25,3,4.0,2015
5,17,12.0,2015
18,10,4.0,2015
14,21,11.0,2015
9,26,30.0,2015
7,0,-9.0,2015
28,8,2.0,2015
4,15,0.0,2015
29,2,-20.0,2015
19,20,-1.0,2015
13,6,3.0,2015
27,29,22.0,2015
16,21,12.0,2015
11,12,3.0,2015
22,23,15.0,2015
1,15,1.0,2015
24,25,20.0,2015
9,6,25.0,2015
26,10,30.0,2015
0,12,3.0,2015
28,3,30.0,2015
5,23,27.0,2015
2,7,13.0,2015
8,22,18.0,2015
17,20,2.0,2015
14,16,25.0,2015
11,0,24.0,2015
29,7,1.0,2015
13,4,-18.0,2015
18,25,14.0,2015
27,19,15.0,2015
2,21,24.0,2015
28,17,18.0,2015
6,1,17.0,2015
19,23,23.0,2015
20,10,13.0,2015
8,5,-3.0,2015
24,3,23.0,2015
16,15,1.0,2015
12,13,17.0,2015
10,29,4.0,2015
27,8,9.0,2015
11,7,9.0,2015
5,26,19.0,2015
22,9,2.0,2015
14,25,9.0,2015
18,1,7.0,2015
6,23,18.0,2015
15,0,23.0,2015
19,9,-16.0,2015
21,2,10.0,2015
13,3,-14.0,2015
12,4,30.0,2015
24,17,8.0,2015
1,8,0.0,2015
26,21,20.0,2015
7,27,24.0,2015
20,29,21.0,2015
11,5,0.0,2015
18,14,-10.0,2015
0,6,20.0,2015
28,4,14.0,2015
25,16,12.0,2015
24,16,17.0,2015
23,27,-2.0,2015
10,15,18.0,2015
19,2,-3.0,2015
13,17,9.0,2015
1,11,-9.0,2015
29,9,-8.0,2015
12,17,-1.0,2015
22,0,-30.0,2015
28,7,9.0,2015
26,18,18.0,2015
2,8,12.0,2015
20,21,8.0,2015
6,15,2.0,2015
25,4,0.0,2015
3,5,14.0,2015
23,10,-1.0,2015
18,13,2.0,2015
8,19,11.0,2015
24,27,-2.0,2015
28,16,8.0,2015
29,22,17.0,2015
19,14,-1.0,2015
7,4,10.0,2015
21,12,-9.0,2015
1,25,14.0,2015
5,2,4.0,2015
6,26,-21.0,2015
0,11,11.0,2015
3,15,2.0,2015
23,28,-4.0,2015
14,6,1.0,2015
5,18,20.0,2015
26,13,9.0,2015
10,24,-12.0,2015
22,1,10.0,2015
17,4,12.0,2015
3,29,9.0,2015
11,8,13.0,2015
9,20,13.0,2015
2,25,14.0,2015
21,0,7.0,2015
15,12,-2.0,2015
19,7,0.0,2015
17,18,-9.0,2015
5,25,25.0,2015
8,27,-9.0,2015
1,7,6.0,2015
11,13,7.0,2015
0,21,-2.0,2015
14,24,-1.0,2015
22,12,-1.0,2015
23,20,-11.0,2015
3,4,22.0,2015
15,26,-13.0,2015
16,2,6.0,2015
6,28,3.0,2015
9,10,18.0,2015
19,29,2.0,2015
2,12,10.0,2015
5,13,14.0,2015
23,9,-3.0,2015
4,0,-18.0,2015
24,10,18.0,2015
21,26,3.0,2015
17,27,10.0,2015
22,25,1.0,2015
18,28,9.0,2015
8,7,-6.0,2015
11,3,-17.0,2015
1,14,-14.0,2015
16,29,12.0,2015
20,18,30.0,2015
29,28,19.0,2015
12,26,24.0,2015
5,4,16.0,2015
0,15,1.0,2015
29,8,17.0,2015
28,2,23.0,2015
13,26,-1.0,2015
25,7,11.0,2015
18,22,12.0,2015
23,10,-11.0,2015
1,19,16.0,2015
16,3,2.0,2015
4,27,15.0,2015
24,9,30.0,2015
20,11,2.0,2015
21,6,11.0,2015
14,17,10.0,2015
17,19,-3.0,2015
12,9,2.0,2015
15,29,25.0,2015
0,16,-3.0,2015
20,5,-18.0,2015
6,22,30.0,2015
23,26,-2.0,2015
7,2,-15.0,2015
1,3,-3.0,2015
24,28,9.0,2015
21,11,2.0,2015
8,18,0.0,2015
4,13,16.0,2015
27,14,18.0,2015
12,23,30.0,2015
0,9,-5.0,2015
16,13,12.0,2015
5,8,-3.0,2015
17,2,7.0,2015
15,11,13.0,2015
19,27,-22.0,2015
7,25,1.0,2015
24,1,13.0,2015
28,10,8.0,2015
22,21,-4.0,2015
29,18,25.0,2015
8,22,25.0,2015
6,20,-8.0,2015
12,7,-1.0,2015
27,17,14.0,2015
11,19,8.0,2015
15,9,-1.0,2015
25,26,-11.0,2015
5,3,16.0,2015
14,13,14.0,2015
4,29,10.0,2015
21,9,-11.0,2015
18,20,9.0,2015
23,1,-5.0,2015
2,16,10.0,2015
28,26,-13.0,2015
24,10,-9.0,2015
22,29,-4.0,2015
13,14,-12.0,2015
6,7,11.0,2015
25,12,-5.0,2015
11,3,4.0,2015
0,4,20.0,2015
19,21,18.0,2015
27,5,7.0,2015
4,24,-3.0,2015
28,1,3.0,2015
20,9,2.0,2015
16,8,-6.0,2015
10,26,-5.0,2015
18,17,3.0,2015
23,14,10.0,2015
2,15,17.0,2015
6,17,30.0,2015
29,5,19.0,2015
11,24,-4.0,2015
0,3,16.0,2015
21,22,19.0,2015
8,27,18.0,2015
19,15,-12.0,2015
16,10,12.0,2015
25,20,-10.0,2015
2,28,10.0,2015
7,14,-2.0,2015
12,1,15.0,2015
29,22,13.0,2015
5,11,9.0,2015
9,0,9.0,2015
15,4,23.0,2015
3,23,30.0,2015
13,1,11.0,2015
6,21,18.0,2015
19,24,-14.0,2015
22,3,-15.0,2015
27,28,15.0,2015
26,8,21.0,2015
10,18,10.0,2015
16,11,0.0,2015
17,29,-1.0,2015
7,13,15.0,2015
12,20,10.0,2015
14,25,11.0,2015
21,4,18.0,2015
2,24,28.0,2015
15,23,21.0,2015
6,25,2.0,2015
18,26,-3.0,2015
9,20,20.0,2015
16,17,20.0,2015
7,1,4.0,2015
14,28,11.0,2015
21,23,-13.0,2015
5,29,30.0,2015
22,15,-5.0,2015
13,0,-24.0,2015
2,19,6.0,2015
27,24,7.0,2015
3,11,12.0,2015
