Team,Offense_Score,Defense_Score
MIN,1.049302,1.026474
MIL,1.046029,1.016851
CHA,1.045667,1.041670
MEM,1.043650,0.994827
PHX,1.034706,0.972419
ATL,1.032039,1.019011
UTA,1.025165,0.973709
BKN,1.024876,1.016646
SAS,1.022324,1.022463
DEN,1.017956,0.998491
LAL,1.013651,1.040915
CHI,1.011078,1.014173
IND,1.010643,1.039967
BOS,1.008049,0.944763
GSW,1.001005,0.950809
SAC,0.998358,1.046842
PHI,0.994641,0.971781
HOU,0.992851,1.067180
MIA,0.992439,0.954699
TOR,0.989893,0.969089
NOP,0.986774,0.994250
WAS,0.983764,1.013005
LAC,0.978238,0.977603
DAL,0.973076,0.945594
CLE,0.972418,0.953531
NYK,0.961948,0.961574
POR,0.960516,1.037311
DET,0.949618,1.015795
ORL,0.942972,1.012230
OKC,0.936351,1.006328