Team,PageRank_Score
BOS,0.07722530493431082
GSW,0.0711095215138326
PHX,0.060233527453852145
MEM,0.05988982435019191
ATL,0.054399473610370355
UTA,0.05376112192946185
CLE,0.05008664404707423
MIN,0.04643636184855045
MIA,0.0457870794643961
TOR,0.04020429523497228
DAL,0.040043155886330464
PHI,0.03542829431711608
LAC,0.03478247046688898
DEN,0.03454025871261491
NYK,0.02916731043052827
MIL,0.028073097975642176
SAS,0.026133711939945157
CHI,0.02550751705008353
CHA,0.024690222869874916
BKN,0.02450053734611282
IND,0.021059772683528457
NOP,0.02082271004666353
WAS,0.018413302620738863
POR,0.01375976965463734
LAL,0.013751179687500432
SAC,0.012598894067517907
DET,0.012590743809682031
OKC,0.009689855465464223
ORL,0.008950734289297518
HOU,0.006363306292819688